title	imdb_id	startYear	runtimeMinutes	genres	url	imdb_rating	num_votes
Ted	tt1637725	2012	106	Comedy	https://letterboxd.com/film/ted/	6.9	643658
Zodiac	tt0443706	2007	157	Crime,Drama,Mystery	https://letterboxd.com/film/zodiac/	7.7	583427
Bleeder	tt0161292	1999	98	Crime,Drama	https://letterboxd.com/film/bleeder/	6.8	8935
Cast Away	tt0162222	2000	143	Adventure,Drama,Romance	https://letterboxd.com/film/cast-away/	7.8	625970
Sleepy Hollow	tt0162661	1999	105	Fantasy,Horror,Mystery	https://letterboxd.com/film/sleepy-hollow/	7.3	379122
Stuart Little	tt0164912	1999	84	Adventure,Comedy,Family	https://letterboxd.com/film/stuart-little/	6	145952
Mulholland Drive	tt0166924	2001	147	Drama,Mystery,Thriller	https://letterboxd.com/film/mulholland-drive/	7.9	376768
Hellboy	tt0167190	2004	122	Action,Adventure,Fantasy	https://letterboxd.com/film/hellboy/	6.8	344991
The Lighthouse	tt7984734	2019	109	Drama,Fantasy,Horror	https://letterboxd.com/film/the-lighthouse-2019/	7.4	244727
The Lord of the Rings: The Return of the King	tt0167260	2003	201	Action,Adventure,Drama	https://letterboxd.com/film/the-lord-of-the-rings-the-return-of-the-king/	9	1937018
The Lord of the Rings: The Two Towers	tt0167261	2002	179	Action,Adventure,Drama	https://letterboxd.com/film/the-lord-of-the-rings-the-two-towers/	8.8	1746520
Dancer in the Dark	tt0168629	2000	140	Crime,Drama,Musical	https://letterboxd.com/film/dancer-in-the-dark/	7.9	115155
Keeping the Faith	tt0171433	2000	128	Comedy,Drama,Romance	https://letterboxd.com/film/keeping-the-faith/	6.4	52949
Cats	tt5697572	2019	110	Comedy,Drama,Family	https://letterboxd.com/film/cats-2019/	2.8	54826
The Departed	tt0407887	2006	151	Crime,Drama,Thriller	https://letterboxd.com/film/the-departed/	8.5	1394900
Pig	tt11003218	2021	92	Drama,Mystery	https://letterboxd.com/film/pig-2021/	6.9	86052
Magnolia	tt0175880	1999	188	Drama	https://letterboxd.com/film/magnolia/	8	324781
Sun Alley	tt0177242	1999	101	Comedy,Drama,Romance	https://letterboxd.com/film/sun-alley/	6.8	7175
Isle of Dogs	tt5104604	2018	101	Adventure,Animation,Comedy	https://letterboxd.com/film/isle-of-dogs-2018/	7.8	186259
Aquaman	tt1477834	2018	143	Action,Adventure,Fantasy	https://letterboxd.com/film/aquaman-2018/	6.8	506571
Requiem for a Dream	tt0180093	2000	102	Drama	https://letterboxd.com/film/requiem-for-a-dream/	8.3	883080
The Wolverine	tt1430132	2013	126	Action,Sci-Fi	https://letterboxd.com/film/the-wolverine/	6.7	485873
In China They Eat Dogs	tt0180748	1999	91	Action,Comedy,Crime	https://letterboxd.com/film/in-china-they-eat-dogs/	7.3	22746
Man of Steel	tt0770828	2013	143	Action,Adventure,Sci-Fi	https://letterboxd.com/film/man-of-steel/	7.1	801664
Almost Famous	tt0181875	2000	122	Adventure,Comedy,Drama	https://letterboxd.com/film/almost-famous/	7.9	289274
Sin City	tt0401792	2005	124	Crime,Thriller	https://letterboxd.com/film/sin-city/	8	787740
The Blair Witch Project	tt0185937	1999	81	Horror,Mystery	https://letterboxd.com/film/the-blair-witch-project/	6.5	280044
Carnage	tt1692486	2011	80	Comedy,Drama	https://letterboxd.com/film/carnage/	7.1	131629
Crouching Tiger, Hidden Dragon	tt0190332	2000	120	Action,Adventure,Drama	https://letterboxd.com/film/crouching-tiger-hidden-dragon/	7.9	278848
O Brother, Where Art Thou?	tt0190590	2000	107	Adventure,Comedy,Crime	https://letterboxd.com/film/o-brother-where-art-thou/	7.7	325831
Tomb Raider	tt1365519	2018	119	Action,Adventure,Fantasy	https://letterboxd.com/film/tomb-raider/	6.3	223844
Hitch	tt0386588	2005	118	Comedy,Romance	https://letterboxd.com/film/hitch-2005/	6.6	331040
The Room	tt0368226	2003	99	Drama	https://letterboxd.com/film/the-room/	3.6	93815
Silent Hill	tt0384537	2006	125	Horror,Mystery	https://letterboxd.com/film/silent-hill/	6.5	240747
Ad Astra	tt2935510	2019	123	Adventure,Drama,Mystery	https://letterboxd.com/film/ad-astra-2019/	6.5	255385
The Love Witch	tt3908142	2016	120	Comedy,Horror,Romance	https://letterboxd.com/film/the-love-witch/	6.2	19187
Horton Hears a Who!	tt0451079	2008	86	Adventure,Animation,Comedy	https://letterboxd.com/film/horton-hears-a-who-2008/	6.8	148388
Waves	tt8652728	2019	135	Drama,Romance,Sport	https://letterboxd.com/film/waves-2019/	7.5	29214
The Shape of Water	tt5580390	2017	123	Drama,Fantasy,Romance	https://letterboxd.com/film/the-shape-of-water/	7.3	440682
Kikujiro	tt0199683	1999	122	Comedy,Drama	https://letterboxd.com/film/kikujiro/	7.7	21811
The Intern	tt2361509	2015	121	Comedy,Drama	https://letterboxd.com/film/the-intern-2015/	7.1	268729
Moulin Rouge!	tt0203009	2001	127	Drama,Musical,Romance	https://letterboxd.com/film/moulin-rouge-2001/	7.6	295923
Save the Last Dance	tt0206275	2001	112	Drama,Music,Romance	https://letterboxd.com/film/save-the-last-dance/	6.2	65209
Hulk	tt0286716	2003	138	Action,Sci-Fi	https://letterboxd.com/film/hulk/	5.6	276216
Children of Men	tt0206634	2006	109	Action,Drama,Sci-Fi	https://letterboxd.com/film/children-of-men/	7.9	521614
Doom	tt0419706	2005	105	Action,Horror,Sci-Fi	https://letterboxd.com/film/doom/	5.2	117717
Girlfight	tt0210075	2000	110	Drama,Sport	https://letterboxd.com/film/girlfight/	6.7	11299
Wild	tt2305051	2014	115	Adventure,Biography,Drama	https://letterboxd.com/film/wild/	7.1	135702
Amélie	tt0211915	2001	122	Comedy,Romance	https://letterboxd.com/film/amelie/	8.3	783771
Miss Congeniality	tt0212346	2000	109	Action,Comedy,Crime	https://letterboxd.com/film/miss-congeniality/	6.3	225613
A.I. Artificial Intelligence	tt0212720	2001	146	Drama,Sci-Fi	https://letterboxd.com/film/ai-artificial-intelligence/	7.2	319362
Dog Days	tt0290661	2001	121	Drama	https://letterboxd.com/film/dog-days/	7	6489
Pearl Harbor	tt0213149	2001	183	Action,Drama,History	https://letterboxd.com/film/pearl-harbor/	6.2	347460
Unbreakable	tt0217869	2000	106	Drama,Mystery,Sci-Fi	https://letterboxd.com/film/unbreakable/	7.3	435328
The Old Guard	tt7556122	2020	125	Action,Thriller	https://letterboxd.com/film/the-old-guard-2020/	6.7	179522
Mr. Nobody	tt0485947	2009	141	Drama,Fantasy,Romance	https://letterboxd.com/film/mr-nobody/	7.7	243200
Another Round	tt10288566	2020	117	Drama	https://letterboxd.com/film/another-round/	7.7	185372
I Am Legend	tt0480249	2007	101	Action,Drama,Horror	https://letterboxd.com/film/i-am-legend/	7.2	798931
Don't Look Up	tt11286314	2021	138	Comedy,Drama,Sci-Fi	https://letterboxd.com/film/dont-look-up-2021/	7.2	579319
Black Panther	tt1825683	2018	134	Action,Adventure,Sci-Fi	https://letterboxd.com/film/black-panther/	7.3	822712
Invictus	tt1057500	2009	134	Action,Adventure,Biography	https://letterboxd.com/film/invictus/	7.3	166260
Peppermint	tt6850820	2018	101	Action,Thriller	https://letterboxd.com/film/peppermint-2018/	6.5	69505
The Matrix Reloaded	tt0234215	2003	138	Action,Sci-Fi	https://letterboxd.com/film/the-matrix-reloaded/	7.2	620882
Flickering Lights	tt0236027	2000	109	Action,Comedy,Crime	https://letterboxd.com/film/flickering-lights/	7.5	23665
Rock of Ages	tt1336608	2012	123	Comedy,Drama,Musical	https://letterboxd.com/film/rock-of-ages/	5.9	80971
Juno	tt0467406	2007	96	Comedy,Drama	https://letterboxd.com/film/juno/	7.5	542759
Dude, Where's My Car?	tt0242423	2000	83	Comedy,Mystery,Sci-Fi	https://letterboxd.com/film/dude-wheres-my-car/	5.5	144441
The Matrix Revolutions	tt0242653	2003	129	Action,Sci-Fi	https://letterboxd.com/film/the-matrix-revolutions/	6.7	535765
Bridget Jones's Diary	tt0243155	2001	97	Comedy,Drama,Romance	https://letterboxd.com/film/bridget-joness-diary/	6.8	258011
Die Another Day	tt0246460	2002	133	Action,Adventure,Thriller	https://letterboxd.com/film/die-another-day/	6.1	226772
Donnie Darko	tt0246578	2001	113	Drama,Mystery,Sci-Fi	https://letterboxd.com/film/donnie-darko/	8	836809
The Princess Diaries	tt0247638	2001	115	Comedy,Family,Romance	https://letterboxd.com/film/the-princess-diaries/	6.4	159659
Manitou's Shoe	tt0248408	2001	87	Comedy,Western	https://letterboxd.com/film/manitous-shoe-2001/	6.7	19905
Billy Elliot	tt0249462	2000	110	Drama,Music	https://letterboxd.com/film/billy-elliot/	7.7	140737
Legally Blonde	tt0250494	2001	96	Comedy,Romance	https://letterboxd.com/film/legally-blonde/	6.4	240001
The Dark Knight	tt0468569	2008	152	Action,Crime,Drama	https://letterboxd.com/film/the-dark-knight/	9	2810310
The Sweetest Thing	tt0253867	2002	84	Comedy,Romance	https://letterboxd.com/film/the-sweetest-thing/	5.2	61633
Over the Hedge	tt0327084	2006	83	Adventure,Animation,Comedy	https://letterboxd.com/film/over-the-hedge/	6.7	186688
Panic Room	tt0258000	2002	112	Crime,Drama,Thriller	https://letterboxd.com/film/panic-room/	6.8	292680
Lammbock	tt0258760	2001	93	Comedy,Crime	https://letterboxd.com/film/lammbock/	7.2	11764
My Big Fat Greek Wedding	tt0259446	2002	95	Comedy,Drama,Romance	https://letterboxd.com/film/my-big-fat-greek-wedding/	6.6	142519
Vanilla Sky	tt0259711	2001	136	Fantasy,Mystery,Romance	https://letterboxd.com/film/vanilla-sky/	6.9	281890
Jay and Silent Bob Strike Back	tt0261392	2001	104	Comedy	https://letterboxd.com/film/jay-and-silent-bob-strike-back/	6.8	159679
Passengers	tt1355644	2016	116	Drama,Romance,Sci-Fi	https://letterboxd.com/film/passengers-2016/	7	435460
Match Point	tt0416320	2005	124	Drama,Romance,Thriller	https://letterboxd.com/film/match-point/	7.6	225819
Black Hawk Down	tt0265086	2001	144	Action,Drama,History	https://letterboxd.com/film/black-hawk-down/	7.7	417113
The Royal Tenenbaums	tt0265666	2001	110	Comedy,Drama	https://letterboxd.com/film/the-royal-tenenbaums/	7.6	308965
Battle Royale	tt0266308	2000	114	Action,Adventure,Drama	https://letterboxd.com/film/battle-royale/	7.5	192029
Finding Nemo	tt0266543	2003	100	Adventure,Animation,Comedy	https://letterboxd.com/film/finding-nemo/	8.2	1093192
Kill Bill: Vol. 1	tt0266697	2003	111	Action,Crime,Thriller	https://letterboxd.com/film/kill-bill-vol-1/	8.2	1169465
A Beautiful Mind	tt0268978	2001	135	Biography,Drama	https://letterboxd.com/film/a-beautiful-mind/	8.2	971168
Barking Dogs Never Bite	tt0269743	2000	110	Comedy	https://letterboxd.com/film/barking-dogs-never-bite/	6.9	10016
Confessions of a Dangerous Mind	tt0270288	2002	113	Biography,Comedy,Crime	https://letterboxd.com/film/confessions-of-a-dangerous-mind/	7	91143
Black Swan	tt0947798	2010	108	Drama,Thriller	https://letterboxd.com/film/black-swan/	8	807977
Punch-Drunk Love	tt0272338	2002	95	Comedy,Drama,Romance	https://letterboxd.com/film/punch-drunk-love/	7.3	173868
Justice League	tt0974015	2017	120	Action,Adventure,Fantasy	https://letterboxd.com/film/justice-league/	6.1	472482
Dogville	tt0276919	2003	178	Crime,Drama	https://letterboxd.com/film/dogville/	8	156319
Raw	tt4954522	2016	99	Drama,Horror	https://letterboxd.com/film/raw-2016/	7	86956
